TotalPoints,PiEstimate,Duration(ns)
10,2.8,190325600
100,3.36,25201200
1000,3.208,14825900
10000,3.152,20207701
100000,3.14024,16403900
1000000,3.141012,32377501
10000000,3.142326,26060201
100000000,3.1416109,186129100
1000000000,3.141664,1739063300
2147483647,3.1415958,3833114100
2147483647,3.141619,3951207799
2147483647,3.1415858,3980388500
2147483647,3.1416159,4405735800
2147483647,3.1415944,5117387700
2147483647,3.1416056,5015856499
