TotalPoints,PiEstimate,Duration(ns)
10,3.6,152850900
100,3.08,18142700
1000,3.16,12706900
10000,3.1368,12384800
100000,3.1348,17133900
1000000,3.14176,28570700
10000000,3.1405056,46141500
100000000,3.141666,411210900
1000000000,3.1416457,3885869000
2147483647,3.1416273,9183995900
2147483647,3.1415827,9541083100
2147483647,3.141686,9434750400
2147483647,3.1416202,9390502500
2147483647,3.141555,9544372300
2147483647,3.1415825,9509585900
