TotalPoints,PiEstimate,Duration(ns)
10,3.6,42273090800
100,3.32,41186600
1000,3.164,21997000
10000,3.1672,32365200
100000,3.13788,23875500
1000000,3.142184,48290000
10000000,3.1422508,114251900
100000000,3.141623,783870900
1000000000,3.141541,5317247900
2147483647,3.141568,11581108200
2147483647,3.1416204,10944060300
2147483647,3.1415951,10955783300
2147483647,3.1415868,11156421500
2147483647,3.1415114,10957326800
2147483647,3.1415443,11673877900
