TotalPoints,PiEstimate,Duration(ns)
10,3.6,389845600
100,3.32,42953600
1000,3.192,115865300
10000,3.1456,284725000
100000,3.15056,137212600
1000000,3.143644,269963700
10000000,3.1412745,403638400
100000000,3.1416428,982377800
1000000000,3.1415496,4448083300
2147483647,3.141568,10640017800
2147483647,3.1416268,10218654200
2147483647,3.1415713,9030648400
2147483647,3.1415749,8699678600
2147483647,3.1416123,9150956000
2147483647,3.1415703,8600223900
